,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,AFG,2378.97,2233.77,1387.77,1341.29,1289.89,1240.29,1175.7,1098.2,1040.0,813.3,760.22,734.838,1033.63,1218.707,1034.607,1552.011,1764.18,1771.41,3564.64,4877.97,7106.15,8928.59,8079.43,5987.05,4879.64,5946.69,5303.53,4782.88,6066.78,6075.23
1,Angola,AGO,6564.2,6674.6,6877.3,9269.8,11298.33,12719.68,15442.5,16155.1,16768.1,17613.42,16204.36,15956.0,15689.7,16764.9,17453.7,15811.4,16558.7,16966.5,19275.4,21145.1,22801.6,23865.9,23868.1,26958.8,29629.8,31649.0,29764.9,24247.2,23957.1,25212.9
2,Albania,ALB,5984.6,4057.6,2217.33,2056.08,2073.5,1928.51,1943.71,1467.7,1793.91,2974.32,3166.09,3234.2,3761.9,4065.8,4249.3,4033.4,4014.6,4138.3,4084.7,4215.6,4449.7,4852.7,4359.2,4435.8,4820.4,4620.1,4477.1,5144.8,5107.0,4829.2
3,Andorra,AND,406.704,406.704,406.704,410.368,406.704,425.024,454.336,465.328,490.976,512.96,523.952,523.952,531.28,534.944,560.592,575.248,545.936,538.608,538.608,516.624,516.624,490.976,487.312,476.32,461.664,465.328,468.992,465.328,494.64,501.848
4,United Arab Emirates,ARE,55211.8,61564.8,59703.9,63621.9,70781.9,75169.0,78530.8,81443.0,83451.3,85681.5,84730.9,97198.1,99147.7,103822.0,110008.8,116455.1,121563.8,131832.9,156045.6,157021.0,162790.1,165601.3,175594.4,184470.2,184764.4,195243.1,201080.8,197036.6,177124.3,188858.6
5,Argentina,ARG,100323.4,105915.0,107929.3,110262.5,111913.7,112892.2,122550.0,126122.9,132673.2,134505.6,132268.3,125258.1,117465.0,127656.0,141375.9,145992.0,154903.7,162806.1,167225.2,156566.2,167225.0,176638.1,177960.0,183250.4,179598.2,185547.3,183158.1,179323.9,176895.3,168095.3
6,Armenia,ARM,19845.2,20689.6,10895.2,5039.3,2736.51,3507.2,2577.0,3340.7,3470.6,3112.3,3561.0,3602.0,3118.7,3495.4,3763.8,4460.9,4489.2,5204.4,5685.5,4510.8,4336.6,4937.1,5716.5,5501.5,5479.0,5343.4,5066.7,5371.3,5712.2,6169.6
7,Antigua and Barbuda,ATG,212.8,216.3,287.3,254.7,251.6,269.2,278.2,294.5,323.8,326.8,328.8,351.3,389.1,405.9,395.4,406.4,438.7,459.7,476.0,1394.3,490.4,537.5,696.9,473.5,477.2,491.0,501.3,501.2,509.8,516.1
8,Australia,AUS,263625.7,264756.3,268398.4,273052.5,280175.1,290184.1,300808.9,307847.5,328619.1,333711.6,339446.6,345645.0,353371.3,352581.1,365808.0,370090.6,375489.1,385746.1,388935.6,395289.3,387536.3,386375.3,386965.7,380278.3,371633.6,377795.2,384991.7,389163.3,387066.7,386526.6
9,Austria,AUT,58272.5,62420.1,57664.8,57800.8,58285.0,61180.0,64899.8,64217.8,64669.9,63051.9,63532.3,67911.3,69367.9,74461.6,75795.8,76236.6,74099.3,71242.5,70729.7,64416.3,69960.0,68271.5,65107.1,65747.0,62048.9,63238.3,63684.5,65856.3,63061.9,64766.3
10,Azerbaijan,AZE,53483.7,52059.4,63614.1,48052.4,33515.3,32474.9,27193.3,26489.6,26490.5,26122.2,27687.2,26397.2,26177.6,28569.4,28311.9,30043.5,30488.4,27627.7,30447.6,25495.9,24311.9,27282.1,30110.7,30939.6,32243.4,31773.3,32239.3,31957.0,32728.1,35508.0
11,Burundi,BDI,171.8,215.1,184.0,193.3,193.5,199.7,206.2,209.0,215.6,228.0,256.3,200.3,208.1,164.4,152.8,154.3,178.0,181.6,185.0,182.2,304.7,361.89,366.25,386.52,375.52,401.65,443.65,525.74,685.12,720.72
12,Belgium,BEL,109312.6,113960.1,112329.3,110108.3,114901.4,114568.7,119448.4,116634.7,119412.8,115514.5,117274.6,118339.8,110850.2,115502.1,114022.7,110610.8,108645.6,104587.3,106934.1,99666.1,106722.3,96482.2,95270.0,96586.3,90137.3,95131.8,94222.7,92723.8,93660.3,93008.5
